epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,1788.62,1.02539,0.84204,1.06072,0.7912,0.74234,0.78999,0.58522,1.05012,0.84958,1.09045,0.000656,0.000656,0.000656
26,1858.84,1.00608,0.81794,1.05371,0.73598,0.71369,0.72842,0.53356,1.05,0.88193,1.10017,0.00063125,0.00063125,0.00063125
27,1927.36,1.01573,0.84533,1.06536,0.80061,0.73152,0.78516,0.59121,1.03754,0.84711,1.08901,0.0006065,0.0006065,0.0006065
28,1997.13,1.00976,0.83019,1.05613,0.7639,0.72115,0.77809,0.58165,1.03155,0.85383,1.08394,0.00058175,0.00058175,0.00058175
29,2065.8,1.00173,0.81478,1.05345,0.81674,0.71015,0.78723,0.58924,1.0305,0.84262,1.07494,0.000557,0.000557,0.000557
30,2132.92,1.00006,0.81123,1.05496,0.78572,0.76015,0.78784,0.57982,1.03048,0.8487,1.07812,0.00053225,0.00053225,0.00053225
31,2202.79,0.98687,0.8039,1.05039,0.78436,0.73708,0.79024,0.58327,1.03384,0.82329,1.08355,0.0005075,0.0005075,0.0005075
32,2271.11,0.98666,0.801,1.04597,0.78702,0.74698,0.79662,0.60451,1.01738,0.82548,1.08008,0.00048275,0.00048275,0.00048275
33,2340.83,0.97168,0.78064,1.03735,0.76909,0.7216,0.7796,0.59072,1.01006,0.82122,1.0675,0.000458,0.000458,0.000458
34,2410.43,0.9773,0.7877,1.04638,0.86226,0.71844,0.81318,0.60797,1.00383,0.80902,1.06252,0.00043325,0.00043325,0.00043325
35,2478.11,0.97017,0.77606,1.03634,0.78638,0.7102,0.78591,0.59861,1.01207,0.81172,1.06801,0.0004085,0.0004085,0.0004085
36,2548.88,0.96789,0.77124,1.03566,0.85857,0.72698,0.80798,0.61605,0.99756,0.81078,1.06184,0.00038375,0.00038375,0.00038375
37,2618.02,0.96835,0.77301,1.03876,0.85376,0.74017,0.81195,0.61527,1.00504,0.7976,1.06459,0.000359,0.000359,0.000359
38,2686.77,0.95604,0.74594,1.03082,0.87847,0.74467,0.81833,0.62057,1.00219,0.79245,1.06057,0.00033425,0.00033425,0.00033425
39,2756.71,0.94663,0.74883,1.02789,0.78538,0.74776,0.79867,0.61758,0.99199,0.79338,1.05829,0.0003095,0.0003095,0.0003095
40,2826.89,0.94867,0.7517,1.02813,0.8627,0.74687,0.8169,0.62592,0.98963,0.78561,1.05357,0.00028475,0.00028475,0.00028475
41,2898.17,0.90943,0.69049,1.00821,0.77724,0.77248,0.81152,0.61759,0.99344,0.7848,1.05778,0.00026,0.00026,0.00026
42,2970.74,0.89511,0.67045,1.0022,0.89549,0.70685,0.81934,0.63188,0.98112,0.79284,1.05152,0.00023525,0.00023525,0.00023525
43,3041.88,0.88319,0.66367,0.99378,0.83706,0.7565,0.81628,0.61942,0.98575,0.77688,1.04858,0.0002105,0.0002105,0.0002105
44,3114.01,0.87754,0.6569,0.99773,0.8402,0.71946,0.80164,0.61009,0.98144,0.77439,1.05045,0.00018575,0.00018575,0.00018575
45,3185.8,0.86819,0.63694,0.98686,0.81731,0.76263,0.82404,0.62655,0.97113,0.76905,1.04609,0.000161,0.000161,0.000161
46,3253.93,0.86211,0.64081,0.98665,0.86654,0.72894,0.826,0.63295,0.97228,0.76461,1.04549,0.00013625,0.00013625,0.00013625
47,3323.03,0.84965,0.62598,0.97829,0.84789,0.73983,0.82401,0.62749,0.96817,0.76222,1.04244,0.0001115,0.0001115,0.0001115
48,3391.23,0.84807,0.62657,0.98125,0.81716,0.77465,0.82566,0.63592,0.96714,0.75836,1.04328,8.675e-05,8.675e-05,8.675e-05
49,3462.78,0.84187,0.61077,0.97863,0.77458,0.77562,0.81831,0.62792,0.96488,0.7448,1.04276,6.2e-05,6.2e-05,6.2e-05
50,3532.68,0.83598,0.61065,0.97776,0.84077,0.75233,0.82567,0.63739,0.96138,0.74988,1.04271,3.725e-05,3.725e-05,3.725e-05
